Estimate summary,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,
0,19134.27,229611.24,USD,,,,,,
,,* Includes upfront cost,,,,,,,
Detailed Estimate,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,Amazon EC2,0,2120.60,25447.2,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (t3.large), Pricing strategy ( 3yr  No Upfront), Enable monitoring (disabled), EBS Storage amount (5000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,853.4,10240.80,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (300 GB), Quantity (2), Instance type (db.m1.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,3345.124,40141.49,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (m4.large), Pricing strategy ( 3yr  No Upfront), Enable monitoring (disabled), EBS Storage amount (8000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,0,0.00,USD,,"Number of EC2 instances (1), Number of EIPs per instance (1)"
My Estimate,US East (N. Virginia),,S3 Standard,0,1150,13800.00,USD,,S3 Standard storage (50000 GB per month)
My Estimate,US East (N. Virginia),,S3 Glacier Flexible Retrieval,0,180.91,2170.92,USD,,"S3 Glacier Flexible Retrieval Average Object Size (16 MB), Provisioned Capacity Units (0), null (0), S3 Glacier Flexible Retrieval storage (50000 GB per month)"
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),,AWS Data Transfer,0,0,0.00,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,2352.43,28229.16,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Network Load Balancer,0,2699.18,32390.16,USD,,"Number of Network Load Balancers (1), Average number of new TCP connections (10000 per second), Average TCP connection duration (5000 seconds), Processed bytes per NLB for UDP (10 GB per hour), Average number of new UDP Flows (5000 per second), Average UDP Flow duration (60 seconds), Processed bytes per NLB for TLS (10 GB per hour), Average number of new TLS connections (5000 per second), Average TLS connection duration (60 seconds)"
My Estimate,US East (N. Virginia),,VPN Connection,0,0,0.00,USD,,Working days per month (22)
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,2282.85,27394.20,USD,,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Amazon Route 53,0,1475.5,17706.00,USD,,"Hosted Zones (1), Basic Checks Within AWS (3000)"
My Estimate,US East (N. Virginia),,S3 Standard,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),,S3 Glacier Flexible Retrieval,0,144.73,1736.76,USD,,"S3 Glacier Flexible Retrieval Average Object Size (16 MB), Provisioned Capacity Units (0), null (0), S3 Glacier Flexible Retrieval storage (40000 GB per month)"
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),,S3 Standard,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),,S3 One Zone - Infrequent Access,0,1020,12240.00,USD,,"S3 One Zone-IA storage (100000 GB per month), Data Retrievals (1000 GB per month), Data returned by S3 Select (1000 GB per month)"
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),,S3 Standard,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),,S3 Glacier Flexible Retrieval,0,180.91,2170.92,USD,,"S3 Glacier Flexible Retrieval Average Object Size (16 MB), Provisioned Capacity Units (0), null (0), S3 Glacier Flexible Retrieval storage (50000 GB per month)"
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),,Amazon ElastiCache,0,1328.6,15943.20,USD,,"Instance type (cache.r4.2xlarge), Cache Engine (Redis), Nodes (2), Utilization (On-Demand only) (100 %Utilized/Month), Cache Node Type (Memory optimized), Pricing strategy (OnDemand), Nodes (0), Instance type (cache.r6gd.12xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Cache Engine (Redis), Cache Node Type (Memory optimized), Pricing strategy (OnDemand)"
"Changes made: Added ElastiCache to provide secure, blazing fast performance; Increased the storage amount of web servers; Increased the Basic Checks amount of Route 53; Increased the specs of Application Load Balancer, NAT; Added S3 Infrequent Access storage and S3 Glacier storage. ",,,,,,,,,
Acknowledgement,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,
